gender,name,display_name,bio,favorites_count,followers_count,list_memberships,tweets_retweets_count,following_count,acct_created,location
m,b'pfairley',b'Peter Fairley #FreeSeams \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 \xf0\x9f\x8c\x8d',b'Romantic believer in informed democracy. Tracking energy & environment globally. Singer. Cyclist. Dad. Lucky partner. Nature lover.',19176,2702,155,4986,2419,2008-10-23 13:02:02,"b'San Francisco & Victoria, BC'"
m,b'EricROlson',b'Eric R Olson',"b'Biologist turned filmmaker, podcaster, and producer. Host @sciencentric. Founder @flowsparkmedia. Rational humanist. Secular Buddhist.'",10771,2522,142,3450,429,2008-10-20 16:30:59,b'Brooklyn'
m,b'cbquist',b'Charles Bergquist',"b'Director of Science Friday, a public radio science program distributed by @WNYCStudios. Ask your doctor if @scifri may be right for you. Restrictions apply.'",10653,9594,289,17181,1769,2008-10-15 16:24:20,b'East Coast USA'
f,b'whitnutt',b'Whitney Clavin',"b'Science communicator at Caltech, covering everything from black holes to exoplanets -- and now humanities and social sciences!'",2836,2161,115,2268,802,2008-10-07 23:07:22,b'Los Angeles'
m,b'cgseife',b'Charles Seife',"b""Journalist, author, NYU professor, debunker of 'alternative facts.' (Pronouns: he/him/his.)""",3032,10215,294,5196,389,2008-10-07 01:20:06,b'New York City'
m,b'brunotedeschi',b'Bruno Tedeschi',b'A Newark-based communications professional who can help your business or organization understand the changing media landscape.',96,662,20,733,929,2008-09-29 14:47:31,"b'Newark, NJ'"
f,b'valerielr',b'Valerie',b'Words @SlackHQ. Basically never on Twitter.',6,484,42,239,282,2008-09-22 03:15:28,b'San Francisco'
m,b'JosephBCastro',b'Joseph Castro',b'Freelance science journalist. Tweets not my own \xe2\x80\x94 work of tiny robot overlords living in my skull.',81,504,33,969,454,2008-09-17 05:59:03,b'Hawaii'
f,b'ishwie',b'Joyce Gramza',"b'Bcast/video/news reporter/producer/writer/editor etc. Identical twin, foodie, dog-lover. I have Tourette, am gay & married.'",284,201,22,2122,417,2008-08-21 14:17:17,b'Oswego County NY'
m,b'ivanoransky',b'Ivan Oransky',"b'VP, Editorial, @Medscape. Distinguished Writer In Residence, @NYU_Journalism; co-founder, @RetractionWatch; president, @AHCJ.'",10,33404,1754,30063,3020,2008-08-15 02:43:03,"b'Northampton, MA and New York, NY'"
f,b'alysonkenward',b'Alyson Kenward',b'Back in Calgary. Back at UCalgary. Back home!',2,399,61,506,179,2008-08-14 17:41:56,b'Calgary'
m,b'tariqjmalik',b'Tariq J. Malik',"b""Astrojournalist, https://t.co/fPOvN0BYa0 Editor-in-Chief, rocket fan. Covering the 'verse for @Spacedotcom/@FuturePLC since 2001. Hailing freq: tmalik@space.com""",1341,9750,445,17139,1720,2008-08-01 15:39:32,"b'New York, NY'"
m,b'cintagliata',b'Christopher Intagliata',b'Science journalist and radio person. Editor @npratc. Host podcasts @SciAm. || Past: producer @SciFri @undiscoveredpod || email me: c.intagliata@gmail.com',15535,6904,250,7240,3271,2008-06-25 22:38:49,"b'Los Angeles, CA'"
m,b'marcusabanks',b'Marcus Banks',"b'Journalist, interested in everything.'",1752,616,30,428,445,2008-05-01 23:07:16,b'marcusabanks.com'
f,b'captbeagle',b'captbeagle',b'I make television about real life.',641,329,1,193,1077,2008-04-21 05:43:40,"b'Brooklyn, NY'"
m,b'joshuarrrr',b'Josh Romero',b'Freelance Journalist & Web Developer. Former @IEEESpectrum',388,318,37,1299,549,2008-03-15 21:35:30,"b'Ann Arbor, MI'"
f,b'RobinLloyd99',b'Robin Lloyd',"b'freelance reporter & editor for hire, @sciam contributor, @nyu_journalism prof, https://t.co/HpWk4AY6pe'",21970,11620,634,13525,6008,2008-02-20 23:53:34,b''
f,b'LauraGeggel',b'Laura Geggel',"b""I'm a transplanted Seattleite living in New York who writes and edits for @LiveScience. Tweets are my own.""",5562,2946,100,3886,4985,2008-02-04 19:46:52,b'New York'
f,b'CatherineDold',b'Catherine Dold',"b'Freelance writer/editor #health #biopharm #addiction #recovery #environment. Coauthor @TheRecoveryBook, @LifeinRecovery2 ASJA Outstanding Book Award #SHERP'",281,1468,125,1829,1687,2008-02-02 18:31:17,"b'Boulder, Colorado'"
m,b'kerthan',b'Ker Than',b'Sci writer with interests spanning anthropology to astrophysics. Writer for @StanfordHumSci and contributor to @NatGeo and others. Views my own.',118,902,78,557,842,2008-01-24 16:26:52,b'California'
f,b'karina4848',b'karina4848',b'Editor of Scholastic MATH (an awesome math magazine for kids!)',0,81,8,385,90,2007-12-14 03:16:17,"b'New York, NY'"
f,b'lindy2350',b'Melinda Wenner Moyer',"b'Science journalist. Contributing editor @SciAm, contributor @Nytimes. 2019 Bricker Award winner. My book HOW TO RAISE KIDS WHO AREN\xe2\x80\x99T AS*HOLES out 2021. She/her'",16180,13900,624,5181,3904,2007-09-04 19:33:08,"b'Hudson Valley, NY'"
